,,Africa,,12443974,,256424,,11588336,,599214,1004,,,,,,Africa,,,,
181,South Sudan,17733,,138,,15630,,1965,1,1547,12,410280,35798,11461077,Africa,"64683,05128",,,171,,
182,Bermuda,16722,,141,,16201,,380,,270543,2281,958749,15511479,61809,North America,44380,,,6148,,
183,Equatorial Guinea,16584,,183,,15862,,539,5,11079,122,349765,233663,1496880,Africa,"908,1804",,,360,,
184,Djibouti,15690,,189,,15427,,74,,15424,186,305941,300747,1017270,Africa,"655,3823",,,73,,
185,Samoa,15178,,29,,1605,,13544,4,75475,144,170551,848091,201100,Australia/Oceania,"136,9341",,,67350,,
186,Dominica,14852,,68,,14554,,230,,205280,940,210195,2905252,72350,North America,"51,0640",,,3179,,
187,CAR,14712,,113,,6859,,7740,2,2942,23,81294,16256,5000837,Africa,"34044,25562",,,1548,,
188,Monaco,13739,,57,,13372,,310,4,345123,1432,77770,1953578,39809,Europe,36981,,,7787,,
189,Tonga,12439,,12,,12283,,144,,115032,111,535009,4947603,108135,Australia/Oceania,"99,0110",,,1332,,
190,Gambia,12009,,365,,11591,,53,,4700,143,155686,60935,2554972,Africa,"2137,00016",,,21,,
191,Greenland,11971,,21,,2761,,9189,4,210124,369,164926,2894911,56971,North America,"52,7130",,,161293,,
192,Yemen,11848,,2149,,9108,,591,23,380,69,265253,8511,31164147,Asia,"2,63014,502117",,,19,,
193,Vanuatu,11722,,14,,11630,,78,,36430,44,24976,77622,321766,Australia/Oceania,"2722,98313",,,242,,
194,Saint Martin,11224,,63,,1399,,9762,7,280537,1575,112382,2808918,40009,North America,46350,,,243995,,
195,Sint Maarten,10656,,87,,10524,,45,10,242911,1983,62056,1414607,43868,North America,45041,,,1026,,
196,Caribbean Netherlands,10567,,35,,10424,,108,,395472,1310,30126,1127470,26720,North America,37631,,,4042,,
197,Eritrea,9878,,103,,9709,,66,,2709,28,23693,6498,3646413,Africa,"36935,402154",,,18,,
198,Niger,9096,,311,,8628,,157,1,350,12,254538,9793,25991630,Africa,"2,85783,574102",,,6,,
199,Antigua and Barbuda,8712,,144,,8543,,25,1,87487,1446,18901,189805,99581,North America,116925,,,251,,
200,Guinea-Bissau,8400,,171,,8151,,78,6,4072,83,145231,70406,2062754,Africa,"24612,06314",,,38,,
201,Comoros,8209,,160,,7933,,116,,9047,176,,,907337,Africa,1115671,,,128,,
202,Sierra Leone,7722,,125,,N/A,N/A,N/A,,930,15,259958,31292,8307448,Africa,"1,07666,46032",,,334,,
203,Liberia,7504,,294,,5747,,1463,2,1416,55,139824,26383,5299842,Africa,"70618,02738",,,276,,
204,Chad,7427,,193,,4874,,2360,,427,11,191341,11005,17386014,Africa,"2,34190,08391",,,136,,
205,British Virgin Islands,7131,,63,,N/A,N/A,N/A,1,232727,2056,105790,3452564,30641,North America,44860,,,783,,
206,St. Vincent Grenadines,7040,,115,,6641,,284,,63050,1030,100341,898646,111658,North America,169711,,,2543,,
207,Nauru,6960,,1,,3391,,3568,,634863,91,14517,1324181,10963,Australia/Oceania,"210,9631",,,325458,,
208,Saint Kitts and Nevis,6377,,45,,6228,,104,,118169,834,108021,2001686,53965,North America,"81,1990",,,1927,,
209,Turks and Caicos,6255,,36,,6144,,75,4,157224,905,548537,13787880,39784,North America,"61,1050",,,1885,,
210,Sao Tome and Principe,6079,,74,,5990,,15,,26727,325,29036,127659,227450,Africa,"373,0748",,,66,,
211,Cook Islands,5831,,1,,5807,,23,,331363,57,19690,1118941,17597,Australia/Oceania,"317,5971",,,1307,,
212,Palau,5308,,6,,5166,,136,1,290531,328,62774,3435906,18270,Australia/Oceania,"33,0450",,,7444,,
213,St. Barth,4845,,6,,N/A,N/A,N/A,,487523,604,78646,7913665,9938,North America,"21,6560",,,440431,,
214,Anguilla,3496,,9,,3464,,23,4,228856,589,51382,3363577,15276,North America,"41,6970",,,1506,,
215,Kiribati,3236,,13,,2665,,558,3,26270,106,,,123182,Australia/Oceania,389476,,,4530,,
216,Saint Pierre Miquelon,2970,,1,,2449,,520,1,517782,174,24521,4274930,5736,North America,"25,7360",,,90656,,
217,Falkland Islands,1831,, ,,N/A,N/A,N/A,,496744,,8632,2341834,3686,South America,20,,,463104,,
218,Montserrat,1025,,8,,1015,,2,,205082,1601,14243,2849740,4998,North America,56250,,,400,,
219,Macao,742,,5,,228,,509,,1112,7,7721,11569,667367,Asia,"899133,47386",,,763,,
220,Diamond Princess,712,,13,,699,,0,,,,,, ,,,,,,,
221,Wallis and Futuna,456,,7,,438,,11,,42074,646,20508,1892231,10838,Australia/Oceania,"241,5481",,,1015,,
222,Marshall Islands,49,, ,,18,,31,,817,,,,60004,Australia/Oceania,1225,,,517,,
223,Micronesia,38,, ,,33,,5,,323,,21923,186612,117479,Australia/Oceania,"3,0925",,,43,,
224,Vatican City,29,, ,,29,,0,,36025,,,,805,Europe,28,,,,,
225,Niue,29,, ,,23,,6,,17597,,,,1648,Australia/Oceania,57,,,3641,,
226,Western Sahara,10,,1,,9,,0,,16,2,,,627257,Africa,"62,726627,257",,,,,
227,MS Zaandam,9,,2,,7,,0,,,,,, ,,,,,,,
228,Tuvalu,3,, ,,,,3,,248,,,,12088,Australia/Oceania,4029,,,248,,
229,Saint Helena,2,, ,,2,,0,,327,,,,6114,Africa,3057,,,,,
230,China,227593,167,5226,,221057,86,1310,,158,4,160000000,111163,1439323776,Asia,"6,324275,4169",0.1,,0.9,,
,Total:,108116472,8861,1496823,13,101112538,26031,5507111,9504,,,,,,North America, ,,,,,
,Total:,164591582,134252,1443365,47,158285366,58216,4862851,11151,,,,,,Asia, ,,,,,
,Total:,61200615,1440,1310886,3,58093628,7261,1796101,10461,,,,,,South America, ,,,,,
,Total:,210829262,,1865015,,199745369,,9218878,6754,,,,,,Europe, ,,,,,
,Total:,10656295,47080,15233,51,10128400,8675,512662,184,,,,,,Australia/Oceania, ,,,,,
,Total:,12443974,,256424,,11588336,,599214,1004,,,,,,Africa, ,,,,,
,Total:,721,,15,,706,,0,0,,,,,,, ,,,,,
,Total:,567838921,191633,6387761,114,538954343,246550,22496817,39058,72848.4,819.5,,,,All,,,,,,
#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,Asia,,164457330,229395,1443318,230,158227150,138520,4786862,11142,,,,,,Asia,,,,
,,North America,,108107611,58072,1496810,105,101086507,109760,5524294,9504,,,,,,North America,,,,
,,South America,,61199175,35884,1310883,137,58086367,51160,1801925,10461,,,,,,South America,,,,
,,Europe,,210829262,165104,1865015,145,199599002,149244,9365245,6754,,,,,,Europe,,,,
,,Oceania,,10609215,44461,15182,52,10119725,41257,474308,187,,,,,,Australia/Oceania,,,,
,,Africa,,12443974,1447,256424,10,11588336,2478,599214,1004,,,,,,Africa,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,
,World,567647288,534363,6387647,679,538707793,492419,22551848,39052,72824,819.5,,,,All,,,,,,
1,China,227426,154,5226,,220971,94,1229,,158,4,160000000,111163,1439323776,Asia,"6,329275,4169",0.1,,0.9,,
2,USA,91275149,24757,1048843,21,86646220,84446,3580086,4183,,,1060390040,, ,North America,,,,,,
3,India,43767534,16935,525760,51,43097510,16069,144264,698,31093,374,869425632,617646,1407643613,Asia,"322,6772",12,0.04,102,,
4,Brazil,33301118,10852,675408,55,31556393,25841,1069317,8318,154431,3132,63776166,295757,215637311,South America,63193,50,0.3,4959,,
5,France,33016578,73668,150576,,30527965,17601,2338037,869,503550,2296,271490188,4140610,65567686,Europe,24350,1124,,35658,,
6,Germany,29692989,,142533,,27682600,20800,1867856,1238,352106,1690,122332384,1450646,84329604,Europe,35921,,,22149,,
7,UK,23075360,,181580,,22355935,16983,537845,146,336315,2646,522526476,7615628,68612396,Europe,33780,,,7839,,
8,Italy,20145859,67817,169925,79,18510884,52417,1465050,403,334200,2819,232863728,3862985,60280780,Europe,33550,1125,1,24304,,
9,S. Korea,18761757,40342,24742,14,18325028,10421,411987,71,365306,482,15804065,307717,51359046,Asia,"32,0763",785,0.3,8022,,
10,Russia,18490296,4664,381881,46,17908809,2483,199606,2300,126592,2615,273400000,1871809,146061901,Europe,83821,32,0.3,1367,,
11,Turkey,15297539,,99088,,15096774,,101677,975,177491,1150,162743369,1888240,86187855,Asia,68701,,,1180,,
12,Spain,13090476,,109348,,12396745,,584383,339,279761,2337,471036328,10066673,46791659,Europe,44280,,,12489,,
13,Vietnam,10760595,745,43091,,9814276,7948,903228,41,108558,435,85826548,865862,99122712,Asia,"92,3001",8,,9112,,
14,Japan,10204843,104832,31580,21,9501765,41513,671498,129,81192,251,58982291,469275,125688082,Asia,"123,9802",834,0.2,5343,,
15,Argentina,9465827,5666,129202,8,9230687,3668,105938,393,205597,2806,35716069,775751,46040624,South America,53561,123,0.2,2301,,
16,Australia,8773576,37899,10689,30,8425795,33446,337092,155,336119,409,75144270,2878802,26102618,Australia/Oceania,"32,4420",1452,1,12914,,
17,Netherlands,8274234,,22422,,8095981,4169,155831,55,480722,1303,21107399,1226312,17212091,Europe,27681,,,9054,,
18,Iran,7278478,5751,141499,13,7068337,643,68642,516,84454,1642,52690831,611383,86183080,Asia,126092,67,0.2,796,,
19,Mexico,6439616,31173,326491,71,5481046,22540,632079,4798,48899,2479,17184357,130489,131692333,North America,204038,237,0.5,4800,,
20,Colombia,6223497,,140365,,6031815,,51317,342,119711,2700,35781769,688273,51987730,South America,83701,,,987,,
21,Indonesia,6134953,3540,156849,10,5950554,2574,27550,2771,21956,561,102088338,365364,279415773,Asia,"461,7813",13,0.04,99,,
22,Poland,6032475,397,116470,,5335771,8,580234,408,159749,3084,36555101,968034,37762199,Europe,63241,11,,15365,,
23,Portugal,5273845,,24369,,5020499,16890,228977,61,520300,2404,43527258,4294251,10136170,Europe,24160,,,22590,,
24,Ukraine,5020181,,108690,,4908049,149,3442,177,116211,2516,19521252,451893,43198851,Europe,93972,,,80,,
25,DPRK,4771290,430,74,,4770340,540,876,,183448,3,,,26008932,Asia,5351472,17,,34,,
26,Malaysia,4622981,3936,35855,7,4544615,3899,42511,61,139201,1080,61779045,1860210,33210795,Asia,79261,119,0.2,1280,,
27,Austria,4609834,10345,18931,1,4467592,10048,123311,77,505959,2078,192241115,21099718,9111075,Europe,24810,1135,0.1,13534,,
28,Thailand,4559029,2028,30999,18,4504734,2578,23296,1496,64984,442,17270775,246174,70156707,Asia,"152,2634",29,0.3,332,,
29,Israel,4498036,,11101,,4415338,,71597,310,482311,1190,41373364,4436346,9326000,Asia,28400,,,7677,,
30,Belgium,4349050,,32051,,4155889,3500,161110,74,371957,2741,34784155,2974947,11692361,Europe,33650,,,13779,,
31,Taiwan,4264788,24325,8176,73,3633807,28497,622805,,178409,342,21967220,918955,23904571,Asia,"62,9241",1018,3,26054,,
32,Chile,4137152,6920,59086,47,3811708,13055,266358,186,212702,3038,41381637,2127539,19450473,South America,53290,356,2,13694,,
33,Canada,4007463,,43555,,3576675,,387233,195,104317,1134,62586673,1629171,38416267,North America,108821,,,10080,,
34,South Africa,3999751,,101918,,3890509,,7324,192,65751,1675,25867414,425227,60832039,Africa,155972,,,120,,
35,Czechia,3952388,581,40352,2,3898753,264,13283,12,367683,3754,55628436,5175005,10749445,Europe,32660,54,0.2,1236,,
36,Switzerland,3843522,,14021,,3679326,,150175,54,437582,1596,21598881,2459015,8783551,Europe,26260,,,17097,,
37,Greece,3843142,,30476,,3614441,,198225,103,372419,2953,86634526,8395309,10319397,Europe,33390,,,19209,,
38,Peru,3749635,8774,213825,24,3426292,5120,109518,182,110584,6306,32314304,953012,33907546,South America,91591,259,0.7,3230,,
39,Philippines,3733101,2560,60641,,3652587,1673,19873,522,33168,539,31151953,276777,112552332,Asia,"301,8564",23,,177,,
40,Denmark,3039859,,6551,,3009498,,23810,14,521082,1123,127826356,21911532,5833748,Europe,28910,,,4081,,
41,Romania,2963934,2165,65813,1,2853649,,44472,108,156190,3468,23737992,1250920,18976433,Europe,62881,114,0.05,2344,,
42,Sweden,2528166,,19170,,2494092,428,14904,16,247192,1874,18709369,1829312,10227542,Europe,45341,,,1457,,
43,Iraq,2405186,2875,25270,3,2345619,3606,34297,25,57183,601,18936695,450218,42061191,Asia,"171,6642",68,0.07,815,,
44,Serbia,2056691,2055,16169,1,2009887,,30635,11,237337,1866,10041491,1158761,8665712,Europe,45361,237,0.1,3535,,
45,Bangladesh,1996340,900,29234,4,1924960,1983,42146,1228,11881,174,14499903,86293,168031850,Asia,"845,74812",5,0.02,251,,
46,Hungary,1940824,,46696,,1878221,,15907,16,201950,4859,11394556,1185648,9610402,Europe,52061,,,1655,,
47,Slovakia,1806090,471,20172,1,1777234,272,8684,26,330481,3691,7200663,1317589,5465028,Europe,32711,86,0.2,1589,,
48,Jordan,1700526,,14068,,1685354,,1104,124,163363,1351,16894012,1622945,10409478,Asia,67401,,,106,,
49,Georgia,1667453,,16847,,1637293,,13313,,419636,4240,16920079,4258151,3973574,Asia,22360,,,3350,,
50,Ireland,1628745,,7537,,1571250,,49958,39,322514,1492,12480436,2471300,5050150,Europe,36700,,,9892,,
51,Singapore,1596046,6947,1453,3,1495141,10947,99452,14,268511,244,24107231,4055678,5944069,Asia,"44,0910",1169,0.5,16731,,
52,Pakistan,1546252,605,30440,2,1505635,429,10177,173,6734,133,29277315,127498,229630041,Asia,"1497,5448",3,0.01,44,,
53,New Zealand,1500754,6482,1763,22,1428229,7751,70762,,300025,352,7334013,1466187,5002100,Australia/Oceania,"32,8371",1296,4,14146,,
54,Norway,1452755,87,3504,,1444381,615,4870,20,263773,636,11002430,1997684,5507594,Europe,"41,5721",16,,884,,
55,Kazakhstan,1316567,1546,13664,,1294798,345,8105,24,68449,710,11575012,601792,19234250,Asia,"151,4082",80,,421,,
56,Hong Kong,1294336,3486,9437,4,1208928,850,75971,5,169841,1238,50415048,6615382,7620882,Asia,68080,457,0.5,9969,,
57,Morocco,1251297,787,16184,6,1220252,1472,14861,293,33102,428,12113766,320455,37801818,Africa,"302,3363",21,0.2,393,,
58,Bulgaria,1184846,417,37294,3,1135430,82,12122,32,173173,5451,10177040,1487444,6841966,Europe,61831,61,0.4,1772,,
59,Finland,1171034,,5012,,1120330,,45692,21,210684,902,11129795,2002392,5558250,Europe,"51,1090",,,8221,,
60,Croatia,1168111,979,16156,9,1142194,1262,9761,20,288157,3985,4997769,1232882,4053727,Europe,32511,242,2,2408,,
61,Lebanon,1140794,2336,10489,2,1087587,,42718,186,168676,1551,4795578,709068,6763213,Asia,66451,345,0.3,6316,,
62,Cuba,1106798,68,8529,,1097915,40,354,23,97838,754,13997964,1237385,11312537,North America,"101,3261",6,,31,,
63,Tunisia,1087030,,28823,,N/A,N/A,N/A,29,90056,2388,4743992,393022,12070547,Africa,114193,,,2606,,
64,Lithuania,1074583,78,9190,2,1038300,,27093,5,406270,3474,10026924,3790902,2644997,Europe,22880,29,0.8,10243,,
65,Slovenia,1060248,566,6667,,1034542,376,19039,16,509852,3206,2693633,1295315,2079520,Europe,23121,272,,9155,,
66,Belarus,994037,,7118,,985592,,1327,,105267,754,13646641,1445161,9442993,Europe,"91,3271",,,141,,
67,Guatemala,984477,1669,18822,9,891574,2250,74081,5,52955,1012,5127997,275837,18590703,North America,199884,90,0.5,3985,,
68,Nepal,981408,114,11953,1,968016,59,1439,,32492,396,5785016,191529,30204405,Asia,"312,5275",4,0.03,48,,
69,UAE,973416,1409,2325,,953694,1434,17397,,96056,229,174124398,17182468,10133841,Asia,"104,3590",139,,1717,,
70,Bolivia,968212,2954,21979,,902599,1986,43634,220,80702,1832,2705422,225501,11997403,South America,125464,246,,3637,,
71,Uruguay,965370,,7373,,955371,,2626,18,275958,2108,6114822,1747965,3498251,South America,44741,,,751,,
72,Panama,934117,,8386,,912594,,13137,16,209766,1883,6637861,1490603,4453139,North America,55311,,,2950,,
73,Mongolia,930677,,2179,,N/A,N/A,N/A,192,274873,644,4030048,1190265,3385840,Asia,"41,5541",,,181710,,
74,Ecuador,927700,,35769,,875413,1300,16518,759,51004,1967,2470170,135807,18188837,South America,205097,,,908,,
75,Costa Rica,904934,,8525,,860711,,35698,52,174399,1643,4659757,898028,5188879,North America,66091,,,6880,,
76,Latvia,844980,,5875,,830399,,8706,1,458293,3186,7362035,3992955,1843756,Europe,23140,,,4722,,
77,Saudi Arabia,803764,606,9232,2,787966,367,6566,150,22378,257,43682740,1216166,35918393,Asia,"453,8911",17,0.06,183,,
78,Azerbaijan,794092,,9722,,783453,,917,,76907,942,6972527,675283,10325347,Asia,"131,0621",,,89,,
79,Paraguay,688820,,19083,,647415,,22322,6,94217,2610,2646163,361942,7311023,South America,113833,,,3053,,
80,Sri Lanka,664448,34,16528,,647454,3,466,,30767,765,6486117,300337,21596126,Asia,"331,3073",2,,22,,
81,Bahrain,649401,1466,1506,1,636754,1084,11141,14,356410,827,10116267,5552104,1822060,Asia,"31,2100",805,0.5,6115,,
82,Kuwait,648216,,2556,,641752,,3908,6,147347,581,8242720,1873671,4399236,Asia,"71,7211",,,888,,
83,Dominican Republic,621047,,4383,,611734,,4930,27,56104,396,3552150,320895,11069518,North America,"182,5263",,,445,,
84,Myanmar,613816,7,19434,,592736,12,1646,,11129,352,8457121,153340,55152811,Asia,"902,8387",0.1,,30,,
85,Palestine,586058,,5358,,578920,,1780,17,109687,1003,3078533,576181,5342994,Asia,99972,,,333,,
86,Estonia,585143,,2608,,523576,,58959,6,440503,1963,3424969,2578360,1328352,Europe,25090,,,44385,,
87,Cyprus,545896,,1086,,124370,,420440,60,445534,886,9477138,7734779,1225263,Asia,"21,1280",,,343143,,
88,Venezuela,530402,672,5748,1,521043,116,3611,36,18761,203,3359014,118811,28271881,South America,"534,9198",24,0.04,128,,
89,Moldova,520321,,11567,,504142,,4612,49,129598,2881,3216305,801098,4014872,Europe,83471,,,1149,,
90,Egypt,515645,,24613,,442182,,48850,122,4852,232,3693367,34756,106266403,Africa,"2064,31729",,,460,,
91,Libya,502289,,6430,,490973,,4886,101,71129,911,2477219,350799,7061642,Africa,"141,0983",,,692,,
92,Ethiopia,491086,55,7561,,468107,33,15418,40,4066,63,5104319,42267,120764566,Africa,"24615,97224",0.5,,128,,
93,Honduras,430672,,10912,,132498,,287262,105,42117,1067,1415120,138391,10225526,North America,249377,,,28093,,
94,Réunion,429237,,825,,418572,,9840,10,472558,908,1603660,1765510,908327,Africa,"21,1011",,,10833,,
95,Armenia,423771,,8629,,412661,,2481,,142467,2901,3109931,1045523,2974523,Asia,73451,,,834,,
96,Qatar,395051,1217,680,,387502,591,6869,6,140697,242,3702093,1318501,2807805,Asia,"74,1291",433,,2446,,
97,Oman,391641,,4260,,384669,,2712,2,72915,793,25000000,4654459,5371193,Asia,"141,2610",,,505,,
98,Bosnia and Herzegovina,380749,,15817,,N/A,N/A,N/A,,117541,4883,1800950,555974,3239273,Europe,92052,,,53319,,
99,Kenya,336740,50,5668,,329673,249,1399,3,5994,101,3796220,67567,56184146,Africa,"1679,91315",0.9,,25,,
100,Zambia,327994,,4009,,322419,,1566,4,16878,206,3589883,184734,19432759,Africa,"594,8475",,,81,,
101,Botswana,324841,,2760,,321024,,1057,1,132677,1127,2026898,827861,2448355,Africa,88871,,,432,,
102,North Macedonia,318138,,9339,,306309,,2490,,152716,4483,2082678,999749,2083200,Europe,72231,,,1195,,
103,Albania,293917,,3517,,281470,,8930,,102360,1225,1866752,650120,2871398,Europe,108162,,,3110,,
104,Luxembourg,274524,,1102,,259768,,13654,,424483,1704,4349750,6725811,646725,Europe,25870,,,21113,,
105,Algeria,266445,21,6875,,178785,16,80785,6,5861,151,230861,5078,45464162,Africa,"1716,613197",0.5,,1777,,
106,Nigeria,259007,,3144,,250485,,5378,11,1196,15,5349305,24703,216547535,Africa,"83668,87640",,,25,,
107,Zimbabwe,256083,,5566,,249862,,655,12,16733,364,2424666,158437,15303699,Africa,"602,7496",,,43,,
108,Montenegro,247179,590,2730,,240519,406,3930,6,393454,4346,2518392,4008723,628228,Europe,32300,939,,6256,,
109,Uzbekistan,242236,96,1637,,239143,61,1456,23,7030,48,1377915,39989,34457369,Asia,"14221,04925",3,,42,,
110,Mozambique,229038,18,2215,,226374,28,449,11,6932,67,1359989,41163,33039241,Africa,"14414,91624",0.5,,14,,
111,Laos,210528,18,757,,N/A,N/A,N/A,,28105,101,1233207,164633,7490638,Asia,"369,8956",2,,26982,,
112,Martinique,207969,,987,,104,,206878,8,555070,2634,828928,2212410,374672,North America,23800,,,552158,,
113,Kyrgyzstan,201329,,2991,,196406,,1932,131,29855,444,1907195,282821,6743477,Asia,"332,2554",,,286,,
